"userID","Visit_Date","Visit.Hour","Total_Bill","Rpayment","address","city","state","country","zip","rating","food_rating","service_rating","southindian","southindian_QTY","southindian_UnitPrice","starter","starter_QTY","starter_UnitPrice","Sabji","Sabji_QTY","Sabji_UnitPrice","Bread","Bread_QTY","Bread_UnitPrice","Rice","Rice_QTY","Rice_UnitPrice","Sweet","Sweet_QTY","Sweet_UnitPrice"
"U1055","01-04-17",19,2425,"cash","Hadapsar","Pune","Maharashtra","India",411611,1,5,4,"wada",3,45,"Chaat Papri",1,50,"Butter Chicken",2,340,"Chapati",3,20,"Mutton Biryani",3,400,"Ice Cream",4,75
"U1126","26-07-17",16,3650,"cash","Wadgaon Sheri","Pune","Maharashtra","India",411549,1,4,4,"Dhokla",1,50,"Chicken 65",2,240,"Beef Vindaloo",4,420,"Tandoor Roti",4,30,"Chicken Biriyani",3,360,"Barfi",4,60
"U1024","07-06-17",11,1250,"cash","Parvati Hill","Pune","Maharashtra","India",411500,3,4,1,"idli",1,60,"chicken Kabab",1,320,"Alu Matar",2,145,"Aaloo paratha",1,70,"Pulao",1,190,"Kheer",4,80
"U1004","06-11-17",12,1100,"cash","Deccan","Pune","Maharashtra","India",411912,3,3,4,"Dhokla",1,50,"Chaat Papri",1,50,"Butter Chicken",2,340,"Chapati",3,20,"Steam Rice",1,160,"Kulfi",2,50
"U1106","20-01-17",10,2240,"cash","Bund Garden","Pune","Maharashtra","India",411692,2,3,4,"idli",4,60,"Veg Kabab",2,270,"Chana Masala",1,130,"Tandoor Roti",2,30,"Veg Biryani",4,280,"Ice Cream",2,75
"U1016","14-08-17",8,1640,"cash","Yerwada","Pune","Maharashtra","India",411549,4,1,4,"dosa",4,70,"Masala Papad",4,40,"Alu Gobi",3,140,"Chapati",1,20,"Steam Rice",4,160,"Barfi",2,60
"U1101","02-02-17",21,1425,"cash","Bund Garden","Pune","Maharashtra","India",411166,4,3,3,"paratha",2,70,"Veg Kabab",1,270,"Dal Makhani",3,125,"Tandoor Roti",4,30,"Mutton Biryani",1,400,"Barfi",2,60
"U1135","10-02-17",12,1980,"cash","Wadgaon Sheri","Pune","Maharashtra","India",411108,4,5,5,"idli",4,60,"Veg Kabab",2,270,"Dal Makhani",2,125,"Aaloo paratha",1,70,"Veg Biryani",2,280,"Cham-Cham",4,80
"U1078","15-10-17",14,2910,"cash","Pashan","Pune","Maharashtra","India",411192,5,3,1,"paratha",3,70,"Chicken 65",3,240,"Dal Makhani",2,125,"Chapati",3,20,"Mutton Biryani",4,400,"Gulab Jamun",1,70
"U1002","20-09-17",19,1925,"cash","Khadki","Pune","Maharashtra","India",411814,2,2,5,"paratha",1,70,"Veg Kabab",3,270,"Dal Makhani",3,125,"Chapati",3,20,"Mutton Biryani",1,400,"Gulab Jamun",3,70
"U1055","21-03-17",13,1980,"cash","Baner","Pune","Maharashtra","India",411077,1,1,1,"idli",1,60,"Veg Kabab",4,270,"Alu Gobi",4,140,"Chapati",3,20,"Steam Rice",1,160,"Barfi",1,60
"U1126","05-12-17",12,2815,"cash","Swargate","Pune","Maharashtra","India",411227,2,1,1,"dosa",4,70,"chicken Kabab",4,320,"Chana Masala",2,130,"Butter Naan",3,40,"Mutton Biryani",2,400,"Ice Cream",1,75
"U1024","22-01-17",11,2620,"cash","Swargate","Pune","Maharashtra","India",411480,4,4,1,"paratha",1,70,"Masala Papad",3,40,"Beef Vindaloo",3,420,"Butter Naan",3,40,"Veg Biryani",3,280,"Gulab Jamun",3,70
"U1004","01-11-17",8,1870,"cash","Baner","Pune","Maharashtra","India",411066,3,2,1,"idli",2,60,"Chili Chicken",3,260,"Alu Gobi",4,140,"Tandoor Roti",3,30,"Steam Rice",1,160,"Cham-Cham",2,80
"U1106","23-03-17",19,1830,"cash","Baner","Pune","Maharashtra","India",411384,2,2,5,"idli",2,60,"chicken Kabab",1,320,"Chana Masala",1,130,"Butter Naan",4,40,"Mutton Biryani",2,400,"Ice Cream",4,75
"U1016","04-05-17",19,2715,"cash","Baner","Pune","Maharashtra","India",411840,1,5,3,"wada",3,45,"Masala Papad",4,40,"Chana Masala",2,130,"Butter Naan",2,40,"Mutton Biryani",4,400,"Carrot Halwa",4,120
"U1101","28-09-17",14,1715,"cash","Yerwada","Pune","Maharashtra","India",411633,5,1,3,"idli",4,60,"Masala Papad",1,40,"Alu Matar",3,145,"Butter Naan",3,40,"Steam Rice",4,160,"Barfi",4,60
